window_title,label,confidence,notes
"Thesis.docx",focused_work,high,writing thesis
"Microsoft Excel",work,medium,data analysis
"YouTube - Google Chrome",distracted,high,watching videos
"Slack",communication,high,team chat
"VSCode",focused_work,high,coding
"netflix.com - Google Chrome",break,high,Netflix break
"Outlook",work,medium,checking email
"System Settings",system,low,configuring computer
"GitHub", creating and editing repo, research
"README.md - VS Code",focused_work,medium,reading docs
"Amazon.com - Chrome",personal,high,shopping
